Term,Count,Ville/Pays
singapore,13,1
chine,14,2
shangaï,15,1
japon,15,2
inde,29,2
calcutta,29,1
york,30,1
liverpool,31,1
mongolia,36,2
yokohama,44,1
bombay,61,1
londres,63,1
hong kong,66,1
