astronaut,astronautLabel,date_of_birth,country_of_citizenship,country_of_citizenshipLabel
http://www.wikidata.org/entity/Q471513,John Danny Olivas,1966-05-25T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q472491,Gennadi Sarafanov,1942-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q472497,Valery Ryumin,1939-08-16T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q472497,Valery Ryumin,1939-08-16T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q472683,Nie Haisheng,1964-10-13T00:00:00Z,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q473221,Mark L. Polansky,1956-06-02T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q487622,Anatoli Ivanishin,1969-01-15T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q487984,Anatoly Artsebarsky,1956-09-09T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q488008,Anatolii Levchenko,1941-05-21T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q488043,Anatoly Filipchenko,1928-02-26T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q488043,Anatoly Filipchenko,1928-02-26T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q491064,Ronald J. Grabe,1945-06-13T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q493699,Paul Scully-Power,1944-05-28T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q493699,Paul Scully-Power,1944-05-28T00:00:00Z,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q494209,Ko San,1976-10-19T00:00:00Z,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q495624,John L. Finley,1935-12-22T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q495632,Richard E. Lawyer,1932-11-08T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
